# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
9.12698 -7094.24 -7238.22 7238.22 261.7 -200 4.95492 0
12.127 -9460.73 -9650.96 9650.96 462.014 -200 4.95492 0
15.127 -11827.2 -12063.7 12063.7 718.876 -200 4.95492 0
18.127 -14193.7 -14476.4 14476.4 1032.29 -200 4.95492 0
21.127 -16560.1 -16889.2 16889.2 1402.25 -200 4.95492 0
24.127 -18926.6 -19301.9 19301.9 1828.76 -200 4.95492 0
27.127 -21293 -21714.7 21714.7 2311.81 -200 4.95492 0
30.127 -23659.5 -24127.4 24127.4 2851.42 -200 4.95492 0
33.127 -26025.9 -26540.2 26540.2 3447.57 -200 4.95492 0
36.127 -28392.3 -28952.9 28952.9 4100.27 -200 4.95492 0
39.127 -30758.8 -31365.6 31365.6 4809.53 -200 4.95492 0
42.127 -33125.2 -33778.4 33778.4 5575.33 -200 4.95492 0
45.127 -35491.6 -36191.1 36191.1 6397.67 -200 4.95492 0
48.127 -37858.1 -38603.9 38603.9 7276.57 -200 4.95492 0
51.127 -40224.5 -41016.6 41016.6 8212.02 -200 4.95492 0
54.127 -42590.9 -43429.3 43429.3 9204.01 -200 4.95492 0
57.127 -44957.4 -45842.1 45842.1 10252.6 -200 4.95492 0
60.127 -47323.8 -48254.8 48254.8 11357.6 -200 4.95492 0
63.127 -49690.2 -50667.6 50667.6 12519.3 -200 4.95492 0
66.127 -52056.7 -53080.3 53080.3 13737.5 -200 4.95492 0
69.127 -54423.1 -55493 55493 15012.2 -200 4.95492 0
72.127 -56789.6 -57905.8 57905.8 16343.5 -200 4.95492 0
75.127 -59156 -60318.5 60318.5 17731.3 -200 4.95492 0
78.127 -61522.4 -62731.3 62731.3 19175.7 -200 4.95492 0
81.127 -63888.9 -65144 65144 20676.6 -200 4.95492 0
84.127 -66255.3 -67556.8 67556.8 22234.1 -200 4.95492 0
87.127 -68621.7 -69969.5 69969.5 23848.2 -200 4.95492 0
90.127 -70988.2 -72382.2 72382.2 25518.7 -200 4.95492 0
93.127 -73354.6 -74795 74795 27245.9 -200 4.95492 0
96.127 -75721 -77207.7 77207.7 29029.5 -200 4.95492 0
99.127 -78087.5 -79620.5 79620.5 30869.8 -200 4.95492 0
