# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
9.12698 -7242.4 -7238.25 7238.22 261.7 -200 4.63431 0
12.127 -9657.99 -9651 9650.96 462.014 -200 4.63431 0
15.127 -12073.6 -12063.8 12063.7 718.876 -200 4.63431 0
18.127 -14489.1 -14476.5 14476.4 1032.29 -200 4.63431 0
21.127 -16904.6 -16889.3 16889.2 1402.25 -200 4.63431 0
24.127 -19320.2 -19302 19301.9 1828.76 -200 4.63431 0
27.127 -21735.7 -21714.8 21714.7 2311.81 -200 4.63431 0
30.127 -24151.2 -24127.5 24127.4 2851.42 -200 4.63431 0
33.127 -26566.7 -26540.3 26540.2 3447.57 -200 4.63431 0
36.127 -28982.3 -28953 28952.9 4100.27 -200 4.63431 0
39.127 -31397.8 -31365.8 31365.6 4809.53 -200 4.63431 0
42.127 -33813.3 -33778.5 33778.4 5575.33 -200 4.63431 0
45.127 -36228.8 -36191.3 36191.1 6397.67 -200 4.63431 0
48.127 -38644.3 -38604 38603.9 7276.57 -200 4.63431 0
51.127 -41059.9 -41016.8 41016.6 8212.02 -200 4.63431 0
54.127 -43475.4 -43429.5 43429.3 9204.01 -200 4.63431 0
57.127 -45890.9 -45842.3 45842.1 10252.6 -200 4.63431 0
60.127 -48306.4 -48255 48254.8 11357.6 -200 4.63431 0
63.127 -50721.9 -50667.8 50667.6 12519.3 -200 4.63431 0
66.127 -53137.4 -53080.5 53080.3 13737.5 -200 4.63431 0
69.127 -55553 -55493.3 55493 15012.2 -200 4.63431 0
72.127 -57968.5 -57906 57905.8 16343.5 -200 4.63431 0
75.127 -60384 -60318.8 60318.5 17731.3 -200 4.63431 0
78.127 -62799.5 -62731.5 62731.3 19175.7 -200 4.63431 0
81.127 -65215 -65144.3 65144 20676.6 -200 4.63431 0
84.127 -67630.5 -67557 67556.8 22234.1 -200 4.63431 0
87.127 -70046 -69969.8 69969.5 23848.2 -200 4.63431 0
90.127 -72461.6 -72382.5 72382.2 25518.7 -200 4.63431 0
93.127 -74877.1 -74795.3 74795 27245.9 -200 4.63431 0
96.127 -77292.6 -77208 77207.7 29029.5 -200 4.63431 0
99.127 -79708.1 -79620.8 79620.5 30869.8 -200 4.63431 0
