# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
9.12698 -7148.9 -7238.27 7238.22 261.7 4.62906 -200 0
12.127 -9533.3 -9651.03 9650.96 462.014 4.62906 -200 0
15.127 -11917.7 -12063.8 12063.7 718.876 4.62906 -200 0
18.127 -14302 -14476.5 14476.4 1032.29 4.62906 -200 0
21.127 -16686.3 -16889.3 16889.2 1402.25 4.62906 -200 0
24.127 -19070.7 -19302.1 19301.9 1828.76 4.62906 -200 0
27.127 -21455 -21714.8 21714.7 2311.81 4.62906 -200 0
30.127 -23839.3 -24127.6 24127.4 2851.42 4.62906 -200 0
33.127 -26223.5 -26540.3 26540.2 3447.57 4.62906 -200 0
36.127 -28607.8 -28953.1 28952.9 4100.27 4.62906 -200 0
39.127 -30992.1 -31365.9 31365.6 4809.53 4.62906 -200 0
42.127 -33376.4 -33778.6 33778.4 5575.33 4.62906 -200 0
45.127 -35760.6 -36191.4 36191.1 6397.67 4.62906 -200 0
48.127 -38144.9 -38604.1 38603.9 7276.57 4.62906 -200 0
51.127 -40529.2 -41016.9 41016.6 8212.02 4.62906 -200 0
54.127 -42913.5 -43429.6 43429.3 9204.01 4.62906 -200 0
57.127 -45297.7 -45842.4 45842.1 10252.6 4.62906 -200 0
60.127 -47682 -48255.2 48254.8 11357.6 4.62906 -200 0
63.127 -50066.3 -50667.9 50667.6 12519.3 4.62906 -200 0
66.127 -52450.6 -53080.7 53080.3 13737.5 4.62906 -200 0
69.127 -54834.9 -55493.4 55493 15012.2 4.62906 -200 0
72.127 -57219.1 -57906.2 57905.8 16343.5 4.62906 -200 0
75.127 -59603.4 -60318.9 60318.5 17731.3 4.62906 -200 0
78.127 -61987.7 -62731.7 62731.3 19175.7 4.62906 -200 0
81.127 -64372 -65144.5 65144 20676.6 4.62906 -200 0
84.127 -66756.3 -67557.2 67556.8 22234.1 4.62906 -200 0
87.127 -69140.6 -69970 69969.5 23848.2 4.62906 -200 0
90.127 -71524.8 -72382.7 72382.2 25518.7 4.62906 -200 0
93.127 -73909.1 -74795.5 74795 27245.9 4.62906 -200 0
96.127 -76293.4 -77208.3 77207.7 29029.5 4.62906 -200 0
99.127 -78677.7 -79621 79620.5 30869.8 4.62906 -200 0
