# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
9.12698 -7092.79 -7238.23 7238.22 261.7 4.65668 -200 0
12.127 -9459.64 -9650.97 9650.96 462.014 4.65668 -200 0
15.127 -11826.7 -12063.7 12063.7 718.876 4.65668 -200 0
18.127 -14193.7 -14476.5 14476.4 1032.29 4.65668 -200 0
21.127 -16560.7 -16889.2 16889.2 1402.25 4.65668 -200 0
24.127 -18927.7 -19301.9 19301.9 1828.76 4.65668 -200 0
27.127 -21294.7 -21714.7 21714.7 2311.81 4.65668 -200 0
30.127 -23661.7 -24127.4 24127.4 2851.42 4.65668 -200 0
33.127 -26028.7 -26540.2 26540.2 3447.57 4.65668 -200 0
36.127 -28395.6 -28952.9 28952.9 4100.27 4.65668 -200 0
39.127 -30762.6 -31365.6 31365.6 4809.53 4.65668 -200 0
42.127 -33129.5 -33778.4 33778.4 5575.33 4.65668 -200 0
45.127 -35496.4 -36191.1 36191.1 6397.67 4.65668 -200 0
48.127 -37863.4 -38603.9 38603.9 7276.57 4.65668 -200 0
51.127 -40230.3 -41016.6 41016.6 8212.02 4.65668 -200 0
54.127 -42597.2 -43429.4 43429.3 9204.01 4.65668 -200 0
57.127 -44964.2 -45842.1 45842.1 10252.6 4.65668 -200 0
60.127 -47331.1 -48254.8 48254.8 11357.6 4.65668 -200 0
63.127 -49698 -50667.6 50667.6 12519.3 4.65668 -200 0
66.127 -52064.9 -53080.3 53080.3 13737.5 4.65668 -200 0
69.127 -54431.9 -55493.1 55493 15012.2 4.65668 -200 0
72.127 -56798.8 -57905.8 57905.8 16343.5 4.65668 -200 0
75.127 -59165.7 -60318.5 60318.5 17731.3 4.65668 -200 0
78.127 -61532.7 -62731.3 62731.3 19175.7 4.65668 -200 0
81.127 -63899.6 -65144 65144 20676.6 4.65668 -200 0
84.127 -66266.5 -67556.8 67556.8 22234.1 4.65668 -200 0
87.127 -68633.4 -69969.5 69969.5 23848.2 4.65668 -200 0
90.127 -71000.4 -72382.3 72382.2 25518.7 4.65668 -200 0
93.127 -73367.3 -74795 74795 27245.9 4.65668 -200 0
96.127 -75734.2 -77207.7 77207.7 29029.5 4.65668 -200 0
99.127 -78101.2 -79620.5 79620.5 30869.8 4.65668 -200 0
