# R+R_tip fE fE_homo Volume Area mu_d mu_t mu_h
9.12698 -7273.74 -7257.23 7238.22 261.7 4.54937 -200 0
12.127 -9698.38 -9676.31 9650.96 462.014 4.54937 -200 0
15.127 -12123 -12095.4 12063.7 718.876 4.54937 -200 0
18.127 -14547.6 -14514.5 14476.4 1032.29 4.54937 -200 0
21.127 -16972.2 -16933.5 16889.2 1402.25 4.54937 -200 0
24.127 -19396.8 -19352.6 19301.9 1828.76 4.54937 -200 0
27.127 -21821.4 -21771.7 21714.7 2311.81 4.54937 -200 0
30.127 -24245.9 -24190.8 24127.4 2851.42 4.54937 -200 0
33.127 -26670.5 -26609.8 26540.2 3447.57 4.54937 -200 0
36.127 -29095.1 -29028.9 28952.9 4100.27 4.54937 -200 0
39.127 -31519.6 -31448 31365.6 4809.53 4.54937 -200 0
42.127 -33944.2 -33867.1 33778.4 5575.33 4.54937 -200 0
45.127 -36368.8 -36286.2 36191.1 6397.67 4.54937 -200 0
48.127 -38793.4 -38705.2 38603.9 7276.57 4.54937 -200 0
51.127 -41217.9 -41124.3 41016.6 8212.02 4.54937 -200 0
54.127 -43642.5 -43543.4 43429.3 9204.01 4.54937 -200 0
57.127 -46067.1 -45962.5 45842.1 10252.6 4.54937 -200 0
60.127 -48491.6 -48381.5 48254.8 11357.6 4.54937 -200 0
63.127 -50916.2 -50800.6 50667.6 12519.3 4.54937 -200 0
66.127 -53340.8 -53219.7 53080.3 13737.5 4.54937 -200 0
69.127 -55765.3 -55638.8 55493 15012.2 4.54937 -200 0
72.127 -58189.9 -58057.9 57905.8 16343.5 4.54937 -200 0
75.127 -60614.5 -60476.9 60318.5 17731.3 4.54937 -200 0
78.127 -63039.1 -62896 62731.3 19175.7 4.54937 -200 0
81.127 -65463.6 -65315.1 65144 20676.6 4.54937 -200 0
84.127 -67888.2 -67734.2 67556.8 22234.1 4.54937 -200 0
87.127 -70312.8 -70153.2 69969.5 23848.2 4.54937 -200 0
90.127 -72737.3 -72572.3 72382.2 25518.7 4.54937 -200 0
93.127 -75161.9 -74991.4 74795 27245.9 4.54937 -200 0
96.127 -77586.5 -77410.5 77207.7 29029.5 4.54937 -200 0
99.127 -80011.1 -79829.5 79620.5 30869.8 4.54937 -200 0
